"Название (черновое)";"Категория";"Населённый пункт/район";"Адрес";"Дата публикации";"Источник";"Ссылка";"Достоверность"
"За 2024 год Fix Price увеличил количество магазинов в Казахстане на 20%";"Торговля";"не определён";"";"2025-01-30";"Fix Price";"https://news.google.com/rss/articles/CBMitAFBVV95cUxPU2VRNjB0YkdkeTRuWXdITW9qOExiQk1JajFSUzJzTU9ZYlR1S2hRY2NyUHFFNGtfYzNMRF9tU3JSck1aV01fZXFzRU43ckNNbkRrRHZudUoySWdBSTJETVl2U1BRVG1iOUluSlZCcHJqaUNoX0I0TnJkRzdfVVhWT0EtYjV2YTYtUl91amJfRmhxaTJzWGVyWGhldmtEX203MFRZeER4OFMwN1lpTm0yVkticlQ?oc=5";"низкий"
"Fix Price планирует открыть в Казахстане не менее 60 новых магазинов в 2025 году";"Торговля";"не определён";"";"2025-01-30";"New Retail";"https://news.google.com/rss/articles/CBMiuwFBVV95cUxQeENLSmI5TDB3N3F5RVc3YmQtczV1S2RUOEdBZ19hQy00ek80M3NjZkROMjFXM3laTDdFTUlZUkExZ0s1YWhoNi1hM3VvdGFpYWFOeEhFb2E3SlZ1aU9wX05zMm4zMjFOYzBfY3JWWUJTY0w1eGFNVXIwdWJrWGRwOFI3amZXLWFfdUo1YkhVMloyS0N1eDRGb2h1c1I4LXgzdGU4R0lLY1djT01rbF9Id1dTRzJzeEIxZENR?oc=5";"низкий"
"Женщина с ножом напала на покупательницу в магазине Степногорска (ВИДЕО)";"Торговля";"Степногорск";"";"2026-05-26";"Liter.kz";"https://news.google.com/rss/articles/CBMipwFBVV95cUxPOWdBMnFEdnB4TzRsSG4xOUVLbnlydlNqQUoxTGktek90S2NuSk9lT01fTGMtOVd5c1ZnRnBFX29DaEJtRkRqUzFQMlAtUUdiekx4d3dsSFhMMG5YV0kwU1R6S0M0bHQ1Ui1GWTlqYWdXbDBqdEtYS1lmcjI5dmZFc1piMTVOWkx6cDNTaEtnejJpM0NHWFNDOVkwcmpjOU9nXzlBS21sSdIBrAFBVV95cUxQNGs4QlBJUEZFa2xiVkU0eVhEdEhYQTNyRW1SVnhXMGFKRVFJSFNVMmhMYjA3WUJPeHpDYXEyMTJ3TnFuS1ZDc2N2akt5ZDZQNzZ2Q2IxTVhHbEozdVpNZzFsYkF3aXpYQWhldFUyS2hvaGg3SnBSV2hMVko1NHd1bDhXcnBCc1BiNXZRT3ZiOXhSbVluNjVqdXZ6eGdsMlhKVklGNl8yc0ctU1ZD?oc=5";"средний"
"Онлайн-магазин продавал психотропные вещества в Акмолинской области";"Торговля";"Акмолинск";"";"2021-09-11";"Inbusiness.kz";"https://news.google.com/rss/articles/CBMinwFBVV95cUxPTXk2MjN1NGxvV0JaVTRva2tOSmotRHppNm14Q1hVbDEwUFV5c0JoYnk3OTBIeVNaS0hZSHI1Z2RmUWl6eEpaLU5pcXNnQjFVMERUWl91RTEwTVpPTDFXSXZlTnJyUVpGSjlSTVQzMnhrSVNwMHR5MmMtOExaTHBGSkk0UThkelAzSk9ESTk3RXRfSnJPNTlYNF9IVDhmMGM?oc=5";"средний"
"Республики 91 — Под магазин можно";"Торговля";"не определён";"";"2026-08-15";"Krisha.";"https://news.google.com/rss/articles/CBMiS0FVX3lxTE14U05hekIzSlcwdzBFeE1kSnFwR000NzIzcUNyZEF3eGZPa2xyc0FiZjFkeVpCQnpSZVlnUkdsNGluaWV2QWhHcldZWQ?oc=5";"низкий"
"Время работы продуктовых магазинов и движения автобусов сократили в Акмолинской области";"Торговля";"Акмолинск";"";"2020-11-12";"КазТАГ";"https://news.google.com/rss/articles/CBMiuAFBVV95cUxQdnViSEowM3pmeTlTb2Q3RHA4d3FLSkcyNVN4bThSaXdjdEhKTWJ0aGlhbVlzYVRVLTNLbjJ1RGdkTXkzQVZ3anJqMFlZcURVR256N01ySkx3QVF1QzVMZ1FJWjlIUjhPc1V6ZEV6eUNzZHRTQmtDclc1OWZtcFpvMTdVbl9pUElrSGhnQTN6TDEyejlsSkYwOFF6U2NfVG5OdDlUYzEwc0lUdTNjMjE4Mm1KU0h0d3ZC?oc=5";"средний"
"Продавцы магазина в Акмолинской области торговали маковыми семенами";"Торговля";"Акмолинск";"";"2024-02-15";"Казинформ";"https://news.google.com/rss/articles/CBMiogFBVV95cUxQOFFNdzg4NFRTUE96UzZmUWRlc2I2ZkpqZ1NidXdyYWhHUGlYT0dhMk5sQ0tzUkRRS01lT1BhTkVBd3Z6bTVBWmpxVEYtam9lTXV1Tk1pTEtJeEw2WmN2MmVoTXV6Ym5Md0x5NGFURzJfNC1aSVNlZ3Y4T2RCNVZOYklkTmMzYzA0cU5sOE04b1ByS1lac2JoUHhZMHQ0VjMxR0HSAaMBQVVfeXFMTVJDX05XQ1h3Ynl4VjdiejhvY01lUFpaVFQ1aUMzdjFCV0RNWWNaQjl4bkpxWUkxanBSUmlzTmQ4QktJQ0VvT01FcHFfdm0tb0JrRGF3T2owbDRLcXhuWDlzUzlZMzZJWVBVTmtMRVdPVTBHdV9jdVd0eDVuUTR2WFBmMXJjZG1BVEY5VHl0ejZISUtoYlhJakdlWFp3QVpRS2xIUQ?oc=5";"средний"
"Магазин AQMOL, где можно купить мясо, молоко и хлеб дешевле, чем в других магазинах Астаны";"Торговля";"не определён";"";"2017-11-26";"Weproject.media";"https://news.google.com/rss/articles/CBMizwFBVV95cUxQRHVxZ2RxNkphdlA0OTAtelNRNnI2V3dBMjM5NWNFeGhlMnk2ZnpFWjZ5N2ZmWTNCMWpkVWlGTVZ1YTZnQ0JtVzF3Y2plM20yaGdZRjlfU08tX2RzQjIydGk4M1c5WERRblE2VkV0YlMzZFdIODEyZ1hzXzlQR0doZFJNSkZmc2FvdS1Ya3M4ZzBuNC1yWGNJS0NXemFWVndIaHpCVHpCNFZpQkJuN0cwYXppWl9fU3JzS205YTdzQUx0U05TbVV4MHNzbXJhU1nSAdcBQVVfeXFMUExfd3hVT3JwUEdMMFNiaTlyOG01UWpqWVh3UmxzSVVXdDNBc0tpVndqb2dnX1hqdk5HWmNnOGxuZnYxX2NFZGo2OEc0SEYzWXdSOEkzaHNBb3hiTk1jbzRmU3UtSzlteVctdmRKNVlyQVFCenpFZDJqWlk1YWJQcWMyYnlzamhXcWZVeEZIeTd1clVUZXk4bTdqdGRyWkdmQWdTQ0s0Ym1GWkdrcV9namFWckFzdUNLU1ZlTEdQVXk0TW5uU3lYUlg1aHhBcG1Jc0VsNFFGaXc?oc=5";"низкий"
"В Степногорске неизвестные ограбили ювелирный магазин";"Торговля";"Степногорск";"";"2023-05-01";"Orda.kz";"https://news.google.com/rss/articles/CBMie0FVX3lxTE1GTG9ia2NJc3h4WWVBZUJoYVJPMjV3c2VIRDVfQjJ6R3BwSmVRQWRQNV9PYlZhNEZhS1NIZV9VdFA1b0lnQ2dsLW1IaVJDSUwtLTlnbjdGenN0TW1DdzZOek9pTHVlUk5hUXJkLTIzdDloZ1A1X01IeHh6SQ?oc=5";"средний"
"Раскрыто ограбление ювелирного магазина в Степногорске (видео)";"Торговля";"Степногорск";"";"2023-05-10";"Казахстанская правда";"https://news.google.com/rss/articles/CBMif0FVX3lxTE5JRDZTZkJ2b2hlZlhxdHdVLTJTbjd1UWJLT3RjdkZZbFVWMWtjVmJwMkgyQkgzc3RxN1RydG1LT0RqZ1d1a1NCZm5SNU5ETzdXc2RtN2RIRzFxd29VUm9wcjJCM21EemRBR0wySkRvWjdsSVUyWDI5ZmwxUVc4V0U?oc=5";"средний"
"Неугомонный чиновник в кафе Кокшетау нападал с кулаками на всех, кто попадался";"Общепит";"Кокшетау";"";"2022-11-03";"newtimes.kz";"https://news.google.com/rss/articles/CBMivgFBVV95cUxOV25MU3FCOWMxUzY0RFZxZXNkY0ZFaV9lbXhaWlFfZDRXSXY4OHVaR0tVU1dpWmo5QTJTV1dGMC1wSjJEcFl3WHI0blJLbGIyWnRmY3BEekZpWWs3SGVjVG1lYXZrOVYtTXVFYWpLVEdkY3hyRkJSMVRxNzdaTUE3T25sUzRueTVJZXVmM3k2OGR5bHBqcUVsN0wzSExrSkszc0VWdjNxVFFYQjhkU3UxQmNGYUV6MktPUWpjbnNn?oc=5";"средний"
"Как из одной кофейни в Нур-Султане развилась целая сеть по всему Казахстану";"Общепит";"не определён";"";"2021-12-03";"Forbes.kz";"https://news.google.com/rss/articles/CBMiigFBVV95cUxNMk1JWFhhdXVxdmJlcjNuaWNUYnJRTDNJTW9jU09LSXVjVVN4dklsZEQwdFpwaUVVa1JOQmhNY1podTYtRFFYdUJRZWs3WkNRQkl1bmZPLUxlSU1sWW12TEtJYlJtQTE2bFI0ZW54UlZBUklQdnR5bF8yMEtxcHZiekw5cEpCM1k3Tmc?oc=5";"низкий"
"В Степногорске открыли торговый дом, кинотеатр и детский развлекательный центр (ФОТО)";"Торговля";"Степногорск";"";"2016-02-11";"Казинформ";"https://news.google.com/rss/articles/CBMitwFBVV95cUxQaHVVd0kwTWNJelBZRGNaWFJvMDFWRHJ4ZllNZ09PalFTNnhDOEdYZEF5YTZJM1pyY2hqT1V2cVNpTUdWQkdRUjhTZWxsNXhGNTllcmhncHdLbWgwcUtjZl9hV0hXRDc1dXVFbWY3NnBrcnZTZzdUcTdyVlJkSGxJb2o3QjhJd0tvd002a1Jicl9VNW1jNUZBNHg1ZHBTd0lsMzd3ajBtc016UnlkYVZtUjQzbUNhbFHSAbgBQVVfeXFMTVJLaEh0eHltaGZabEkzeTZUa2FnSjdsUHdFU2ZkNnFmdVRFN2xfQy00bXBLUXFaazNBZjByUXk0TGQ2NW1TaFJDSXJTTG5ncGlUeHktY1hhQW1Vb18ybGlBQjRpSko0aWhLcTVQOG5yZ2d5ckRmbXhjVW9RZkxUYlZWbllPSVg4MlVCRDVmcGQyOC1GUzBSaDhqU0gyS1Z6anIyYmNSYzJaeUlzWUd1b3VFRlRsNEd0Yw?oc=5";"высокий"
"В Казахстане появится рейтинг санитарного благополучия кафе и ресторанов";"Общепит";"не определён";"";"2026-08-12";"BES.media";"https://news.google.com/rss/articles/CBMiogFBVV95cUxOZ3BEQ25sN05YN2h2X1c1cmoxbktFV2tKRlpEVlgwTmpMRnE0RDl4a0pnTlo0TGFlZmxLVDhmLVQyZDNLRkU2RFh2VDRHR2pEb2pyY2xfZ0xuN29IdFEzZ1ZfTlZ3aVdzS0ZRUjRCbTZtRklrX18xZ2tsOUw3U2k0X3Boam1fZjRIRXZsYTU3WnAwbHJGU1pzb3l1R251S3NMcEHSAaABQVVfeXFMT1J5UnYxVWljNGN5N2t0WW84MkhyQzJGR2U1dFNIeHlZMVdzeGpfMFBpNDZ5a0lEcC16TWhra0otZWl6clJKVU1scy0xUzYxcy1Ydm9ieEQ4Y2tLV1c2QkNrNFJ0b1lKNzRVWHVETE1GRXRwcklPcW9Wc2RLVHhTdm5WUDMyd0xheTlfMWFla2VCMXVrRDdNc01Bak5hMF9TVg?oc=5";"низкий"
"Какая помощь была оказана пострадавшим после взрыва в кафе в Акмолинской области";"Общепит";"Акмолинск";"";"2026-03-07";"Казинформ";"https://news.google.com/rss/articles/CBMitAFBVV95cUxPdGdmVkgzeXdMSWl4X2hoLV9zRjNMY0ZBaEY0UXh4cDcxOHo3VDFNU1lTRlgzV3BmSThXQ2lrdzRXbVBfVXV2Wkx0MzZZczdWaVVsYVAtdHVaTXc1T2hBYnA3SXNhZUVab2xTM3Z0N1VpejhscWtNbXJfbld1Rkx5MUQteUpBYTNwai1seXBza2JCQjBxcjE2TkJ6YWFvNHM3bEN4WlRnS29xUHpZaUZBSDd3ZC3SAbYBQVVfeXFMTU0ydGJNcUN2b2QwYVBtT3NwZUJYYlhMTGtIYW5wbVRES1YxRVRfZkl6Q3VTamZZeXBEdy1iZWNxUDlqLXM0UjRPVEdhWG9zRFpzajRaY2pLNFg2dEdBNXVuOVVEckttdjNVaWE0NWhXUjVKQnlzVmlBbkNhYmRWMXlFR1BVd3YtM3J2QktYNE5WdFpZaGg0WGdBM09pbnlkS2ZHSnVReVNZT2ZyUDJWN25rS0w2Q2c?oc=5";"средний"
"Взрыв в кафе Щучинска: 7 погибших. Новые детали происшествия в Центре плова";"Общепит";"Щучинск";"";"2026-02-27";"TengriNews";"https://news.google.com/rss/articles/CBMimAFBVV95cUxOZUJWWFN0LUJVMGVRQTJ1ZzRNUDRMeEt2OFluc2RJTzVMRDVHSTQxb09Ycl9MSUNqQ0U1a2Q5LXF0V3VBWXF3UU5wbl95WFNRbUloU3NvUTZtcEZjelljcjh5dUxqTUpPOVYxanl4UmREa3ZmcG9uZ1BiMHlpZDUzMm82NXdkLWEwMGpQdUhSci1YVjJ0ZG5vNg?oc=5";"средний"
"Собачье мясо в ресторанах Астаны: что стоит за слухами и что говорит ветслужба";"Общепит";"не определён";"";"2026-05-21";"El.kz";"https://news.google.com/rss/articles/CBMirgFBVV95cUxPbmdJX05SRVZkTlVLcE5LUXVQb0hEQVRHaVRSbThOZFM2MkRqQkFmcXI3dXFTRzFnLUZ2c3diRFdGdkxlanNVbGs4UE9LSkstVldJZ291WXZrSmpaSHdDYUVTcFAyUFlBN0ZpOVFHdldmODVTYm1tb0RzMmFkOWdqYWJvY25aNUNCN3dqcG5RR3ZBeG9VdlVJUjV6ekRweXgwRUVfZWxPNTJZR0MtZ0HSAbMBQVVfeXFMTXFZd0xBb3VnUVUtcWxvNmVyUy1TSDE1dDNTbWs4NVN1WkdsMHpSRURkTVpXQjlCWjd3UUI0LXpxQTBvVDFfcGpCZldEZHVnMWNSU2IwWm9iaGdWbHdOdjZVaE41NEplRlNzQ3FRQW0xUWZEa1lTSHUzcmRrd0VxRVVwTGFQSWYzSlA2Wkt4N0VTcjAtQmlCajA4VXBTRk43b1RnN1VlcC1JTkhQSHAyam9vMUU?oc=5";"низкий"
"В ветслужбе Астаны ответили на слухи о собачьем мясе в ресторанах";"Общепит";"не определён";"";"2026-05-21";"Ulysmedia.kz";"https://news.google.com/rss/articles/CBMipAFBVV95cUxPTDNMczVNZDFONjBpQXZBbTFfYW9BNmdubFNkZlZyMmJ0dlpLUTBYQmM3N3J2ck1tTzhjMWZXVlRqMkxGeUthdmNDR2pJdjYyN3F4RkFEbEhNUDhWbW5xbk5uNDU2UUVfa19DcmxlWnFZYXd3LTdIOC1nRzRzR2kzZHgyWVRjcGdMejJtV2NKcEp4T2ZVWDJ2Q3UwSFlyWUhCZnAyUw?oc=5";"низкий"
"Взрыв в кафе Щучинска: число погибших увеличилось";"Общепит";"Щучинск";"";"2026-03-09";"khabar.kz";"https://news.google.com/rss/articles/CBMipgFBVV95cUxNb2NHN09UZGpaTG1SakFiXzV3NWJkLU5jVFB2dHVxd2Vvb1VmbFJoSXdjMGJmVm9XWXFiNkF6T1ROa3dUQlY3R1ZrcEhZSTNyRXdwZU11OFp5N0swRGZnOFFDSDBJS3ZGWUh4NXdFYk85ZGxKT0RuajRKVXhkV0xkNXREeWhwUm45QmRMd3JDa2k5V2FnTk5QWE13aTNDYWtWRlgyZHZR?oc=5";"средний"
"Взрыв в ""Центре плова"" в Щучинске: владельца кафе отправили в СИЗО на два месяца";"Общепит";"Щучинск";"";"2026-03-05";"Informburo.kz";"https://news.google.com/rss/articles/CBMirgFBVV95cUxOT3pncXFVdjNpOUtEc21iQ0tQN2hRVldmeXlraWYxNGFTQ1FxLTBOWVZuRmNHWW5pSUY4Z29LZ01Eb0ZBNFI2TjJIUFVXdWhFd0JkRm5IQ0ZOMHZMdk9POC1vbGEzU2FuRmduY05ORF9zSGVUQUVVM3hwWHpqVnRWREpDNml3dFlRXzVJaTZHQnV4TEYwVEk5SmlVOWxwNU9aekJzaFhraHdQS1R6ZFE?oc=5";"средний"
"Бывшие рестораны McDonald's возобновили работу в Казахстане под новым брендом";"Общепит";"не определён";"";"2023-11-23";"Интерфакс";"https://news.google.com/rss/articles/CBMiUEFVX3lxTE5CdHQ1SDFjbEdSSmd4emZyanZ1cDhCS215Z2NkcDl1OXNTTEpwSm1QQUdTUldfVFkxSkd1cTB3ZFVwWk5GRnVneEwtbWhwMXdz0gFKQVVfeXFMTmNMU0ZSdFItbXR1Z2FRV25GSFVMSXdJeFhkVkJzTHk2R21CX2VDTnJOX0JYc0s0b1J0eWpZbEl2ZkwybHVIeHVIbWc?oc=5";"низкий"
"Шестерых пострадавших при пожаре в кафе Щучинска переведут в больницу Кокшетау";"Общепит";"Кокшетау";"";"2026-02-27";"Казинформ";"https://news.google.com/rss/articles/CBMiugFBVV95cUxNSF9IWGx2alBORlNsT0VsamxJTGMtSnpDVEFKdXdxelFTdVpkOG5aRDhEMlJ4QlQ2ZFVHbmdweGI4NFBGWjJRN3NoU29LMjd5cWlWUW8zaDVjdmluSlM1c29TQmJvbnBna0lPMDQxTUZXV3pvZTByVkFDNnBJeElPeF9xVXV5Ti0xYllrdmZrZXRCeTViRDcxd0QzaFBla0hKMGtyV1FMLU94MHdSb1hRREVleXRCTHpSdmfSAbsBQVVfeXFMUHpHZzBKQTVwNERvRkEwZzROR3dhelBpSDFjUWRqYXZDdEt3T3pOU3BRNGktSjVzcWlyaHAtbHFxOVNscTFOUzhWeFh1Q0R1dG5LU2pMdHR2V1JyZDduX09OTGN4a3NlOWpIdzVNajBpNExaYkh0RExiSzZMYUxkU2JqZXlldjVsSGxkalI2cXk0d2VRX1I3ZEduN0poM3J4aEU5VXhidTVheW5idVBDNy1YYXJFMXp5VWtrOA?oc=5";"средний"
"Ресторан загорелся в Кокшетау, эвакуировались 150 человек: 14 ноября 2025 21:29";"Общепит";"Кокшетау";"";"2025-11-14";"TengriNews";"https://news.google.com/rss/articles/CBMipwFBVV95cUxOOFp4MEhHS05GWVJvSVg2czN3UEw0VkZTV0E0STk4Qk5hNEt1NHdrVEQ4TDdUZDM3aHFaemFTb215RGlmNWFpb1JqZDRoSVlZZkdWb1NlckktN2FfelN4NnN0ZnJPU2x2UVpaN3p1U1lJeXprTjBxTWUwbTlpXy1BN2NQcDhKRXJoc1ZRUWw1YXZwTVdsOWFNdk1CRm9Ea21DUUU2SmNZUQ?oc=5";"средний"
"UNO. Первый ресторан современной фермерской гастрономии";"Общепит";"не определён";"";"2019-07-28";"Weproject.media";"https://news.google.com/rss/articles/CBMimwFBVV95cUxNRG14LXJmOUxjVlFRQ2x5QTd1c05nT3pwY0FuWFhYUjJxQW8zb2NNTzlqVkJYV3BiVWN2V1pwV2lNUk4xbEpxZWdLRUxfd1dranV5MVFaTG1mZDlfN3FCckNPaDdoMGh4clBnblJJUlJEeURuS3BQQ1ZjbzFSZENQcGtaZGVUZ3ptajk5bzBSY25NQWpsNU14dGZpZ9IBowFBVV95cUxQbUdNNDNqN1VOb0RaWE1QNkhOTmFYS25jaUZHZ01rZWpCZ2FxVmJueFBuN0hkRzk2cGtmeU11NmVHX0hKWUNRaWczSWhiV2laNkJHWGF1M2dKblBmd0lMWHJWTDVGbEVzZUZlSWQtOFNVZmJCeUlpa0llVkJCQ011MEVrNExObXg5RGw5enRtODZjX2doUzd1WWxiVGtjbHdVUnAw?oc=5";"низкий"
"За чьи деньги китайские туристы пиарили частный ресторан в Алматы?";"Общепит";"не определён";"";"2024-06-05";"Orda.kz";"https://news.google.com/rss/articles/CBMikwFBVV95cUxONWdaNXcxWkE5X3oycm5SSkRRNHFtQzE1aTZFRWhNckRWQ3Y3MXZGOE1zWDc5ZUNpTThRNEsyNE12OFZyM0NfTnlESy11cWdCb2JqYXllMG5xWlNKN1lJdHhtTG51Ukl4XzYxWlRzZlZfTXZVTU5JUFlQdS1pejlLRTk5VTg2clV0d0xPbnk4SC05VXc?oc=5";"низкий"
"Собачье мясо в ресторанах: в Минсельхозе сделали заявление";"Общепит";"не определён";"";"2026-05-21";"Ulysmedia.kz";"https://news.google.com/rss/articles/CBMimAFBVV95cUxPUXZEUVBnRlRrOE1kYkNQa2wtX2hMaVVFVTFBUl9TRkdsNUdSRnpTQXRWcHBheWpvTHJUS1BrdTlfM0RDbVJ4Tlg3N0YyWW92ZFY1T2kzMjROTXVlSUtGMU05WkRQZDFveGdsR21VNnkwdmgtbUp3LVdrVWptVjBzTUU5UE42eGdyVng2QVVtUDBVRU9oQ2tDTdIBnAFBVV95cUxNUm5PWUY2RmRjTWQ0T3hhQS03OXhiMm1zNkxRN2E3cVhKWjVtbVFqX3ZQaFc1S1l4YmFYcC00ZjN4cm9LODZxczZtc0l4d3BteFRvUjVaY3lXcmRDSjRfNjM2UEwtQ0RoelNWS2lsb29NUENKYW5OczdNbVhFYkxzRmd6Q04xN192MG96ZERiQ3BsUlhLWGxaV1BVc0c?oc=5";"низкий"
